"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.4636209813875","88.7044534412956","86.2509117432531","83.629654478363","84.6303501945525","70.6868685663848","69.3943248480407","68.6664578409317","70.0630780331023","67.7653712810757","76.9749819561498","76.4484740814733","74.9110469524375","73.5808547588983","74.6380124647528","75.2464685871092","84.6867741066482","83.5416514017811","85.3429686877605","84.6065584238676","72.9807504481858","70.4193283773103","71.2556056890066","72.9607783956333","72.1089811926666","71.1446628587944","76.275533480478","85.3138913136662","81.4544963361518","",
"Africa Eastern and Southern","AFE","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7617481503645","19.5846029029707","21.1830893222173","21.2887295349291","24.1152408467587","25.967540765926","26.4440722797309","26.0757218326985","27.2272092145813","25.6988462659969","25.8556527329861","26.568173884396","27.6505034161165","26.1369627133541","26.8511727542412","28.0165250904774","29.3833271766184","31.6765501158148","35.9526963235352","31.5668362307823","29.9028978595381","32.1321070440404","33.1661486531543","34.1742895781048","33.068165447177","30.9129064941736","28.434077121597","27.6453434288377","28.5208504212826","26.7409748793602","24.2562672383954","26.3447850546884","30.0117749989343","29.1963927376739","27.5704550729831",
"Afghanistan","AFG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.2890774127896","37.06956357719","54.5054272070161","50.7318770310383","",
"Africa Western and Central","AFW","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.2167466955221","49.5798907399883","45.1995887314867","41.0646943598961","31.1572958281252","40.1542845215112","48.8896796542348","63.6888438415367","42.5805194236924","39.3125588161519","35.8599667074303","36.0648469678372","34.6378933219044","33.1339181383385","25.2456726203982","23.2527202247958","25.541723496358","17.0387830650203","27.6274881904292","26.7192226195468","25.2994284078973","26.1693270398798","24.4131759595382",
"Albania","ALB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","23.5366005935177","22.2899596239822","24.7376437022741","21.558592462639","20.075351594758","19.1144514025886","16.0311247475208","16.1296420781227","19.9184766016104","21.4727330022325","24.0318995737727","28.5857013386048","96.2858807479086","64.5395029570264","41.1188903879182","27.8690477261306","32.9166369875764","34.6885288285564","35.9033228751103","33.4219849707784","42.0787901456396","43.633879639684","45.8202791003667","44.6593347174316","43.4861860965483","46.6735108205055","47.6933170159667","52.7810809795909","50.6658853595192","48.676733103645","47.9226032986331","51.644524727632","47.8575873806007","46.8812165543279","46.9528588208631","44.2101251985694","45.3446572805207","45.7855860010406","44.5800648295474","44.4460064468406","36.9799486187859","44.4572993931639","47.5009752834284","43.828601725513","42.9611975707809",
"Andorra","AND","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.2138969469454","38.2365951600103","37.841537824446","37.1135252256472","32.8866957541161","33.6181661072347","32.056912271011","31.8934561952941","33.4451439969307","31.3299979904381","29.9245686825268","30.776802432703","31.6842035289095","32.5615525163723","35.1229751595129","35.1101125458028","35.0163095549488","39.3795658406012","40.1648467999102","41.69772696889","36.8013226043777","35.316565244799","35.9572638272364","37.0762926695036","38.3343667853007","40.623281152909","38.255989890627","38.9452327774307","36.4923209571494","37.3072850042423","36.8502666802575","35.7415419966259","36.0465101906724","39.8532805210222","",
"United Arab Emirates","ARE","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.7053546013305","43.5683114306968","46.3769702756087","53.0548827099662","51.9675602523703","50.8428719062721","64.4140553654625","69.6456553241827","73.8086264961866","59.499423452049","59.8540595720978","62.3355072418794","63.0928963679193","66.4350143524677","72.6484310657599","73.3137080820416","73.0665008461837","65.925796265564","73.2085188926111","85.0503934969287","83.7058484943304","85.1332094135825","93.7216646067614","",
"Argentina","ARG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","7.60404697912324","5.99494531619397","9.38368289056535","7.89045203275027","5.56371407476368","4.15058297228058","4.98968803354159","4.99706414666865","5.40371142251908","6.3987133165299","4.73587740491927","6.60795603425504","6.837877358188","5.70950079036544","6.28900906002225","5.97867249611964","5.92149632785012","7.32639415522164","5.71540643432211","6.32976917437938","6.48369977956918","7.37192799857345","6.52099302139343","5.83614942003836","4.75648611743286","6.27332704995287","6.32405524784407","7.57576406955165","6.21184563577101","6.57938879331971","4.63132240741775","6.07801081056698","8.13279311431564","9.31379991407563","10.6043971410814","10.0910128307854","11.0778716497076","12.7753287418177","12.934446011977","11.5555704475475","11.6360695451767","10.2732473690136","13.370127359396","14.7138051046861","16.8450266849578","17.3053942367662","17.4067852681036","18.2824203070644","18.341772996414","14.4961418494061","16.0371898581987","16.7569458546489","14.2886829096862","14.7167556136651","14.0013150558519","11.7805740385254","13.5667926798789","13.9693177780045","16.3258502050892","14.7057366680037","13.5982843701675","15.0119803984295","15.2996935612041","13.8912663507893","12.8251676959106",
