Country Name,Country Code,Year,GDP_USD,GDP_PER_CAP_USD,INFLATION,POPULATION,UNEMPLOYMENT_RATE,EXPORTS,IMPORTS
Africa Eastern and Southern,AFE,2002,267815037639.861,625.998816166344,8.9149284688433,427820358.0,7.63233006754872,27.7950198229929,27.6505034161165
Albania,ALB,2002,4515003116.68036,1479.83884572006,3.90388141100428,3051010.0,17.891,20.1711859333135,45.8202791003667
Algeria,DZA,2002,61516103406.1688,1937.46411413019,1.37285594197843,31750835.0,25.9,33.1371640975005,23.452441183911
Angola,AGO,2002,15285592370.374,882.147847234303,196.984099399931,17327699.0,16.488,57.0849959046266,48.2167466955221
Arab World,ARB,2002,746649261275.272,2483.10723424941,3.77083954826043,300691509.0,12.512529502018,39.2543162392288,31.6842035289095
Argentina,ARG,2002,97724004251.8602,2569.69963519124,30.555204053903,38029349.0,19.59,28.3825969991682,13.370127359396
Armenia,ARM,2002,2376335048.39976,742.651118319819,2.35739901911141,3199800.0,10.833,27.832108365994,46.152393477237
Australia,AUS,2002,395788696012.059,20301.8431713256,2.84035444214652,19495210.0,6.375,20.7266612553969,20.7224309468224
Austria,AUT,2002,212837224022.813,26334.862215032,1.10421528982809,8081957.0,4.852,45.6510533943756,41.9334403110863
Azerbaijan,AZE,2002,6236087738.28284,763.108895463487,4.21438616378043,8171950.0,10.04,42.7678350515464,50.0503092783505
"Bahamas, The",BHS,2002,8881160000.0,26781.6195938652,3.96047432502201,331614.0,9.05,36.175454557738,34.1025271473546
Bahrain,BHR,2002,9593510638.29787,13501.4708801425,3.41434955253743,710553.0,1.139,72.5085662959225,58.6250679204693
Bangladesh,BGD,2002,54724081490.5102,393.886422327628,3.8928674350377,138933658.0,3.966,12.4099689322019,16.557411788963
Belarus,BLR,2002,14594900944.7658,1479.38066337175,44.8937387740736,9865548.0,10.908,63.6275159440361,67.3745423382546
Belgium,BEL,2002,258383599375.177,25006.191397109,1.63999808262712,10332785.0,6.91,70.8312976956765,65.2538517924041
Belize,BLZ,2002,1244650000.0,4861.74314184267,0.691897818951915,256009.0,10.04,43.5865504358655,49.4114811392761
Benin,BEN,2002,4194342686.2178,546.463829658159,3.55421325456054,7675426.0,0.69,19.726610778332,24.0418117580991
Bhutan,BTN,2002,559345263.708309,895.799489930972,5.16519284946268,624409.0,1.853,22.9202319620156,47.363085238581
Bolivia,BOL,2002,7905485146.44351,888.221328974352,2.82075739734616,8900355.0,2.613,21.6344550841802,27.7158052884154
Bosnia and Herzegovina,BIH,2002,6728220886.64546,1606.54672243362,5.00786637251515,4188002.0,27.312,19.1260121626731,59.6014673260219
Botswana,BWA,2002,5438863982.88692,3117.25087183011,1.18737069613121,1744763.0,21.268,52.1574267782427,39.6783472803347
Brazil,BRA,2002,509795273806.715,2855.94018885769,9.79811223755975,178503484.0,10.641,14.2305902713775,13.3877671308534
Brunei Darussalam,BRN,2002,6333082878.97992,18621.2922677806,-0.135384149567656,340099.0,5.575,56.6559739302734,36.5602074917746
Bulgaria,BGR,2002,16403043849.8297,2092.98288625558,3.84837869171173,7837161.0,18.11,33.6473037196123,41.6223072947401
Burkina Faso,BFA,2002,3622350062.96053,285.654087637533,3.05698609068348,12680897.0,2.851,8.86536563219181,22.4471572206048
Burundi,BDI,2002,825394519.423728,120.952308575468,1.02785857373888,6824132.0,3.169,4.68580418118256,16.988025225784
