Country Name,Country Code,Year,GDP_USD,GDP_PER_CAP_USD,INFLATION,POPULATION,UNEMPLOYMENT_RATE,EXPORTS,IMPORTS
Africa Eastern and Southern,AFE,2019,1009746517725.42,1493.81793829992,4.44437946494116,675950189.0,7.58441879909928,23.9260802442033,26.7409748793602
Albania,ALB,2019,15585111614.0376,5460.4305086932,1.00063285556122,2854191.0,11.466,30.9361224858484,44.4460064468406
Algeria,DZA,2019,193459662090.677,4468.45341883656,0.882992828847023,43294546.0,12.259,20.407941949491,26.0989006586763
Angola,AGO,2019,70897962732.0277,2189.85571407618,19.1870038271785,32375632.0,16.497,40.7907550532833,17.0387830650203
Arab World,ARB,2019,2949355029586.25,6638.48541455372,1.60682389220305,444281315.0,10.2160980238311,42.3849285002328,37.3072850042423
Argentina,ARG,2019,447754683615.225,9955.97478680428,49.1955790596612,44973465.0,9.843,17.9248783778462,14.7057366680037
Armenia,ARM,2019,13619290539.2116,4597.22887399548,1.06562263923419,2962500.0,18.304,41.3508013620849,54.7633527667858
Australia,AUS,2019,1392723834562.64,54972.7017885437,3.46820261012924,25334826.0,5.159,24.1596779983146,22.0278238953145
Austria,AUT,2019,442983642371.842,49885.9947355204,1.47368502823586,8879920.0,4.56,55.8958073929339,52.3114775114917
Azerbaijan,AZE,2019,48174235294.1176,4805.75371765917,-0.221652923789676,10024283.0,5.0,49.0506275016423,36.7675179068137
"Bahamas, The",BHS,2019,13277000000.0,33640.3369861278,4.4475744235402,394675.0,9.336,34.9807938540333,33.8058296301875
Bahrain,BHR,2019,40446808510.6383,27259.7438599327,0.164802199458762,1483756.0,1.223,73.0944239873751,62.3231194108364
Bangladesh,BGD,2019,351231654603.692,2129.79896954606,3.65813755162172,164913055.0,4.441,13.0947573353039,18.4832971559365
Belarus,BLR,2019,64410170653.4569,6837.77339645635,8.5769890965353,9419758.0,4.165,65.0945839929757,65.7558221092078
Belgium,BEL,2019,536726344405.489,46716.6227467964,1.85424076568934,11488980.0,5.364,82.9674275396401,82.4980513923498
Belize,BLZ,2019,2388300000.0,6190.04792278445,-0.11783540640397,385829.0,9.053,51.8569693924549,50.2658794958757
Benin,BEN,2019,14391686313.4641,1130.82135339795,-0.39755379308734,12726755.0,1.214,29.6305271935478,34.0508051206822
Bhutan,BTN,2019,2735683570.46155,3576.87987100503,3.10800837414914,764824.0,2.72,31.4575032617598,44.6660134423907
Bolivia,BOL,2019,40895322850.9407,3503.89601123129,-0.693003271755344,11671386.0,3.682,24.9672622840166,31.4300444441081
Bosnia and Herzegovina,BIH,2019,20482608755.379,6122.3753450882,2.47150468459363,3345533.0,15.692,40.0400711149533,54.4760567724708
Botswana,BWA,2019,16725908148.5481,7172.08956480028,0.508004124173738,2332083.0,20.094,37.0878176552067,46.0051637049108
Brazil,BRA,2019,1873288205059.69,9029.83326681073,4.22425886342708,207455459.0,11.936,14.1229191913178,14.7673386785785
Brunei Darussalam,BRN,2019,13469235348.2211,30426.5730284202,-3.33372764830381,442680.0,6.6,57.9460406090157,50.5636178817246
Bulgaria,BGR,2019,68634004792.1,10372.8044341114,5.23548704810747,6616726.0,4.23,64.1822870820611,60.8476760586327
Burkina Faso,BFA,2019,16032813503.3707,764.853077774946,0.51290051556127,20961952.0,4.71,29.2576956572794,31.1509972180432
Burundi,BDI,2019,2576518879.82353,210.236494521532,0.851867434051655,12255336.0,1.043,5.17203999926172,23.8541700005272
Cabo Verde,CPV,2019,2252177124.32402,4380.78117331128,0.694871191088424,514104.0,12.128,46.7050331370949,56.8976233266308
Cambodia,KHM,2019,36685356407.7206,2225.87705485686,2.79255741070172,16481304.0,0.119,55.4468679729119,60.289811099536
Cameroon,CMR,2019,39667757527.6578,1555.22660476477,1.16977181911541,25506095.0,3.622,19.8500907473186,23.528422500723
Canada,CAN,2019,1743725183672.52,46352.8693445211,1.54607073393581,37618495.0,5.69,32.3526958202565,33.8187894602395
Central African Republic,CAF,2019,2221301351.43918,449.228467602439,2.32783705140642,4944703.0,5.607,15.7553800018083,34.3104199996784
Central Europe and the Baltics,CEB,2019,1686042070714.23,16551.8488917344,3.8226798680774,101864274.0,3.77015348175842,61.7215440431816,59.269365310404
Chad,TCD,2019,14905517742.8454,893.336441643325,-2.66131094227197,16685223.0,1.084,24.968456965958,21.7092677493188
Chile,CHL,2019,278285058719.466,14495.716721687,2.56778721379496,19197744.0,7.493,27.8746677570512,29.7370868110317
China,CHN,2019,14560167101283.4,10342.9009524335,1.31550650702985,1407745000.0,4.56,18.055706959796,17.1437133141061
Colombia,COL,2019,323031701192.84,6472.54544924705,4.00262054293638,49907985.0,10.28,15.8680386541241,21.6904953267149
Comoros,COM,2019,1195019531.03664,1519.26386326167,2.33065495555907,786578.0,3.934,12.7734606325226,29.4946179024958
"Congo, Dem. Rep.",COD,2019,51775829877.2088,557.044161335917,5.89540537440325,92947442.0,4.591,25.8676651009614,29.3674929390241
"Congo, Rep.",COG,2019,13976637779.9763,2488.42466724916,-1.31736650195613,5616661.0,20.392,56.1988143702835,35.3769404227539
Costa Rica,CRI,2019,64417670521.3339,12884.6859951947,2.56679211742168,4999553.0,10.807,34.3253215592844,31.4352084583213
Cote d'Ivoire,CIV,2019,60382894697.3557,2141.76836170115,1.98335249260808,28193009.0,2.401,22.6604887650452,21.9999218180343
Croatia,HRV,2019,61467582193.6824,15563.8167397199,1.98838183285723,3949390.0,6.617,50.4892350523665,50.8927782779613
Cuba,CUB,2019,103427600000.0,9232.26115935183,3.54474299448344,11202846.0,1.705,12.2133743797594,10.6075167556822
Cyprus,CYP,2019,26196667099.5303,29703.052734375,1.35008643696904,1286671.0,7.155,75.7588676037208,74.7473019574414
Czechia,CZE,2019,256794209028.77,24062.7190013343,3.8413178989087,10671870.0,2.015,72.1248511386482,66.0297588552233
Denmark,DNK,2019,345401473012.615,59404.2663247723,0.950878606508979,5814422.0,5.018,58.9506079167167,52.9408671489359
Djibouti,DJI,2019,3088851450.30694,2837.16902340932,0.449845161500079,1088709.0,26.256,166.717864481384,154.221365882795
Dominican Republic,DOM,2019,89146130744.723,8183.01623600375,3.59545070493974,10894043.0,6.356,23.325332586795,27.587649613902
Early-demographic dividend,EAR,2019,11887904124496.5,3543.32390703605,3.10800837414914,3355014793.0,6.33471130423578,24.7149763100036,26.2444147903149
East Asia & Pacific,EAS,2019,27322078215458.3,11578.2748298091,1.49948619479095,2359771090.0,3.81472100039499,27.6126844403283,26.0304750880531
East Asia & Pacific (IDA & IBRD countries),TEA,2019,17481802738366.4,8379.40686898285,1.31550650702985,2086281644.0,3.91055814607334,22.055602446993,21.0932757591326
East Asia & Pacific (excluding high income),EAP,2019,17503362758566.8,8286.43967532333,1.49948619479095,2112289891.0,3.89330553057754,22.0569161027075,21.106198581455
Ecuador,ECU,2019,107595830000.0,6205.05765246766,-0.0565742583910378,17340021.0,3.812,24.0486345985713,24.0342148947594
"Egypt, Arab Rep.",EGY,2019,318678815489.749,2962.98892023003,13.6180959109963,107553158.0,7.851,16.6440314510365,24.4799857040743
El Salvador,SLV,2019,26881140000.0,4320.11671534627,0.848014701105342,6222318.0,4.17,29.9559096080003,46.0861034911466
Equatorial Guinea,GNQ,2019,11364133549.7478,6804.14923073888,-3.16368983363937,1670177.0,8.064,51.1307495482003,43.7480428771542
Estonia,EST,2019,31873748770.0313,24021.2501413306,3.8226798680774,1326898.0,4.514,72.0191543549198,68.3329936436289
Eswatini,SWZ,2019,4616996144.90635,3913.12643969301,2.27888568981025,1179874.0,28.138,44.761705694096,41.8795172684727
Ethiopia,ETH,2019,95912620248.0592,828.709080522921,12.8604326413094,115737383.0,2.917,7.93996502459584,20.8753289042388
Euro area,EMU,2019,13587001830079.4,39212.5111497975,1.92131129927328,346496601.0,7.51936142254261,47.3078898391143,43.8105219134859
Europe & Central Asia,ECS,2019,23032792622187.5,24975.4166431436,2.34320884568132,922218554.0,6.6450735805812,44.4587131208569,41.3532971328321
Europe & Central Asia (IDA & IBRD countries),TEC,2019,4175891551192.92,9034.43209100317,3.65868395013121,462219596.0,6.74270634130925,36.5158626268023,33.1829546687112
Europe & Central Asia (excluding high income),ECA,2019,1498314108819.45,6020.63670154835,3.82718214785177,248863066.0,9.16445030301045,36.7350833031766,36.9724829626827
European Union,EUU,2019,15809298345792.2,35374.6443827131,2.33858654999968,446910453.0,6.68857556375924,48.5093967942336,45.0305704151495
Fiji,FJI,2019,5444407198.13478,5950.82866866702,1.54802217635034,914899.0,4.373,48.4609021522354,58.9505619900298
Finland,FIN,2019,267014821129.411,48358.1807773701,1.48185903627636,5521606.0,6.695,40.6183181143561,39.9458321803805
France,FRA,2019,2722793515171.76,40408.2848574751,1.21052308336793,67382061.0,8.415,32.8895593910847,33.5394177830602
French Polynesia,PYF,2019,6022276196.13871,21582.5892046801,0.822355119129753,279034.0,11.565,20.5923590296429,42.7137533727575
Gabon,GAB,2019,16874405465.391,7441.1786472281,1.54748519798422,2267706.0,20.358,51.4310732271996,21.9970162214648
"Gambia, The",GMB,2019,1813609692.49994,738.186751987483,6.25220639943007,2456844.0,4.538,20.1658912380486,35.8320203806507
Georgia,GEO,2019,17638337116.9126,4741.2832715876,3.99568034557234,3720161.0,11.565,54.3043084100873,63.5057718296264
Germany,DEU,2019,3957208055215.68,47623.8656074829,2.01597612276328,83092962.0,3.163,42.3863044855837,36.747442628887
Ghana,GHA,2019,68352629246.1555,2186.65822682613,8.48107029698721,31258945.0,3.16,37.4495998625311,39.3752028696209
Greece,GRC,2019,207305649887.019,19335.3602002969,0.245015781395267,10721582.0,17.045,39.5602917930958,41.0298090980773
Guam,GUM,2019,6355000000.0,39274.9431424899,2.43881496389949,161808.0,5.401,22.2501966955153,55.8143194335169
