Country Name,Country Code,Year,GDP_USD,GDP_PER_CAP_USD,INFLATION,POPULATION,UNEMPLOYMENT_RATE,EXPORTS,IMPORTS
Africa Eastern and Southern,AFE,2000,287201651521.163,707.120377674078,11.1173058824862,406156661.0,7.78831690275509,25.5952247765203,25.8556527329861
Albania,ALB,2000,3584570164.85195,1160.42047054038,5.91957346525058,3089027.0,19.023,19.5304708980011,42.0787901456396
Algeria,DZA,2000,54790398570.3282,1772.92869122761,22.6780091895684,30903893.0,29.77,42.0697177213416,20.7886259146931
Argentina,ARG,2000,284203750000.0,7637.01489203628,1.03728710073175,37213984.0,15.0,10.9863752325576,11.6360695451767
Armenia,ARM,2000,1911563668.85006,593.450581742282,-1.37367599828147,3221100.0,11.095,22.1614188089398,50.0719114183969
Australia,AUS,2000,416167815092.908,21870.4159669594,2.5507652827131,19028802.0,6.288,19.3902280759468,21.5449829026037
Austria,AUT,2000,196181599831.287,24487.2974685956,1.36731376651514,8011566.0,4.687,43.591091462861,42.2515162707939
Azerbaijan,AZE,2000,5272615722.96892,655.097249579917,12.4927738128452,8048600.0,11.78,40.1708314787732,38.3777368008308
"Bahamas, The",BHS,2000,8076470000.0,24940.0775086078,0.92270742527738,323835.0,7.12,38.0475628585261,41.5973810340409
Bahrain,BHR,2000,9062898936.17021,14214.4836839343,14.3225240993621,637582.0,1.083,79.1806670285974,56.6284682992678
Bangladesh,BGD,2000,53369787318.6245,396.670730249751,3.44665934914798,134544304.0,3.27,12.3442012279919,16.9775131339119
Belarus,BLR,2000,12736780455.1539,1276.28038121269,185.290761160986,9979610.0,12.224,69.2108213448948,72.3983446101294
Belgium,BEL,2000,236792460312.471,23098.8865077401,2.01459208675317,10251250.0,6.586,72.5473951580567,69.6827399089776
Belize,BLZ,2000,1138900000.0,4729.67080428075,1.44428759552335,240799.0,10.836,42.8483624550004,53.6921591008868
Benin,BEN,2000,3519991440.47913,487.424141384242,4.3410556635676,7221619.0,0.864,20.6053025489554,26.742848952329
Bhutan,BTN,2000,460733418.399276,771.924911410619,16.5271465816956,596863.0,1.66,28.0014111590781,46.0250859513651
Bolivia,BOL,2000,8397855484.76908,975.777060358751,5.19540520801752,8606326.0,2.447,18.2747449737713,27.3230300480841
Bosnia and Herzegovina,BIH,2000,5567772768.81188,1338.48059636261,30.3325930267657,4159771.0,25.187,21.883818745472,63.4739243887068
Botswana,BWA,2000,5788329609.15755,3450.81180622992,14.1709669143697,1677382.0,15.88,51.8318100701299,40.0929196197881
Brazil,BRA,2000,655448231983.527,3766.54811466032,5.60606514085735,174018282.0,10.889,10.1880480043795,12.4517133524146
Brunei Darussalam,BRN,2000,6570999059.70575,20130.2571493081,2.37672035245946,326424.0,5.459,56.9702963778436,30.0850369790491
Bulgaria,BGR,2000,13245990274.4581,1621.26210738992,7.38083885101,8170172.0,16.218,36.218856756011,41.5268474034378
Burkina Faso,BFA,2000,2968370087.59759,248.908526921752,-0.819773185220825,11925546.0,2.679,8.8447174852677,26.2782244851586
Burundi,BDI,2000,870486065.883137,134.537861752389,38.9448932030909,6470194.0,3.129,6.3189705942566,16.234753894772
Cabo Verde,CPV,2000,539227277.626411,1189.51479345891,-7.90110347163402,453317.0,13.088,27.0072185431265,60.5133898183652
Cambodia,KHM,2000,3694168979.32019,296.426687526334,-3.23183761779971,12462336.0,0.744,49.3049002706901,61.0922250330406
Cameroon,CMR,2000,10566579294.9831,708.565731625965,1.53156295867964,14912631.0,7.536,24.8568127317047,23.0711315143103
Canada,CAN,2000,744773415931.587,24271.0020563821,4.37419903632332,30685730.0,6.829,44.209235821106,38.5561220292153
Central African Republic,CAF,2000,916777282.691659,239.154133726071,8.5066010783456,3833416.0,5.362,20.3722135905975,25.2875684031294
Central Europe and the Baltics,CEB,2000,429412709571.523,3959.62494896645,5.53606175369798,108447824.0,12.1661215560372,38.5089814075911,43.33241883594
Chad,TCD,2000,1388506771.58756,163.121663683369,5.28980485990252,8512093.0,0.79,16.8900964319303,34.6810755816349
Chile,CHL,2000,78339750721.364,5052.99245766325,4.56004348660028,15503635.0,10.491,30.1237538780926,28.5881692096046
China,CHN,2000,1223754919971.05,969.199513696287,2.09978437202267,1262645000.0,3.26,20.681599363293,18.3293431142068
Colombia,COL,2000,99875074951.0278,2555.00751039968,33.6753705095567,39089934.0,20.52,15.915139715438,16.7519457538687
Comoros,COM,2000,351136579.648632,655.007796688241,-4.46002451335903,536080.0,4.398,8.83631405886599,26.9211644879301
"Congo, Dem. Rep.",COD,2000,19088046305.7971,377.925421481395,2630.1226744224,50507442.0,3.234,11.4496120313427,15.5647908914142
"Congo, Rep.",COG,2000,3227927697.57921,1024.30159109181,47.0400830761822,3151345.0,19.87,80.297147219193,43.6127371864776
Costa Rica,CRI,2000,15013629661.8969,3812.75388284924,9.38971354763002,3937739.0,5.08,42.9303221707385,43.5946013423319
Cote d'Ivoire,CIV,2000,16577533891.8785,936.636541348798,1.60101728726917,17699004.0,4.816,27.7900585635603,27.1739330659549
Croatia,HRV,2000,22134411297.473,4953.65158789022,4.35088461209688,4468302.0,16.064,35.0895248860295,39.5121605843111
Cuba,CUB,2000,30565400000.0,2751.3817714814,1.74116359273691,11109109.0,5.45,14.1300293796253,16.9459585020971
