Country Name,Country Code,Year,GDP_USD,GDP_PER_CAP_USD,INFLATION,POPULATION,UNEMPLOYMENT_RATE,EXPORTS,IMPORTS
Africa Eastern and Southern,AFE,2009,715485349813.383,1386.59024970969,8.28143239106254,516003448.0,7.15588066169117,27.3046938821189,31.5668362307823
Albania,ALB,2009,12335540656.1006,4213.65007574693,2.57034008938903,2927519.0,13.674,24.644624460972,48.676733103645
Algeria,DZA,2009,150317292079.359,4235.42990456612,-7.37374817554633,35490445.0,10.16,32.5860062711518,31.6987484527475
Angola,AGO,2009,70307196181.6539,3136.64546955947,-16.7621402901592,22414773.0,16.431,58.7573002977584,63.6888438415367
Arab World,ARB,2009,1829849574764.63,5134.45006055159,-2.78022303939403,356386673.0,9.46639460138819,46.1573946646849,41.69772696889
Argentina,ARG,2009,332976484577.619,8150.23527028221,15.3776493708921,40854831.0,8.645,19.5609850560818,14.4961418494061
Armenia,ARM,2009,8647937081.2562,2820.5926553347,2.49725307891563,3066000.0,19.295,14.6709007461363,42.6033349980631
Australia,AUS,2009,928762122698.05,42816.5674002829,4.94917908012782,21691653.0,5.565,23.0109850559796,22.7298779728897
Austria,AUT,2009,399290118782.429,47857.4446635266,1.73939280154138,8343323.0,5.371,45.4869106822459,42.1135824199495
Azerbaijan,AZE,2009,44292427184.9492,4950.39949009423,-18.8992283768538,8947243.0,5.74,51.6357456848728,23.1082959987641
"Bahamas, The",BHS,2009,9981960000.0,27512.9130950084,-1.03638031397996,362810.0,14.25,34.190679986696,42.3303639766138
Bahrain,BHR,2009,22938218085.1064,19465.3140745038,-12.9939410116026,1178415.0,1.07,68.4655938651118,49.4981315443774
Bangladesh,BGD,2009,102475158190.998,679.211477428056,6.76435468091874,150873714.0,5.0,16.9401329056133,23.1526633174097
Belarus,BLR,2009,50873167326.0414,5352.48809190697,9.25866194162666,9504583.0,6.1,48.8764618241933,59.759183004167
Belgium,BEL,2009,485014525992.461,44923.3400135081,0.781821174283053,10796493.0,7.908,68.5960770690546,66.5423286532355
Belize,BLZ,2009,1688500000.0,5401.22963143045,-2.51886906561739,312614.0,8.328,45.4249333728161,44.1220017767249
Benin,BEN,2009,9738626517.00319,1024.10277858112,2.53969206095486,9509423.0,0.949,19.9279668393882,24.7746622235924
Bhutan,BTN,2009,1331343797.77308,1918.39599211093,4.42409943446155,693988.0,3.96,42.46629308784,59.0931184774042
Bolivia,BOL,2009,17339992193.7322,1731.18172112209,-2.41989432827502,10016275.0,2.973,35.7226248254274,32.9044490873317
Bosnia and Herzegovina,BIH,2009,17613949091.2294,4539.91863774968,0.18546652937485,3879794.0,24.068,25.0093787853569,48.7381154401454
Botswana,BWA,2009,10118459242.3183,5082.93388332404,15.1089337480839,1990673.0,16.169,35.8336618587618,52.647126774976
Brazil,BRA,2009,1666996438581.43,8678.6592244676,7.31348274294028,192079951.0,9.419,10.8513711347491,11.2546044712842
Brunei Darussalam,BRN,2009,11912904529.0722,30946.4674272953,-21.7392663171489,384952.0,6.411,59.7036048188459,30.5834832943224
Bulgaria,BGR,2009,52023801230.12,6988.27316296465,3.9380183620588,7444443.0,6.817,42.2188500872454,50.473795516392
Burkina Faso,BFA,2009,9450696873.34326,601.569520671859,2.40550487042772,15710066.0,3.711,13.7889708614234,26.507012812169
Burundi,BDI,2009,1781455139.85931,199.097633037708,10.4587965254196,8947646.0,1.621,6.60000027378395,29.2000032854075
Cabo Verde,CPV,2009,1852334575.17521,3659.72046361628,1.95455824513613,506141.0,13.517,41.3602933111924,27.1192789414526
Cambodia,KHM,2009,12502901169.7377,875.748936193569,0.751138640296162,14276810.0,0.579,46.2109950081593,56.0769540065406
Cameroon,CMR,2009,27932970317.129,1461.38999232337,3.60351518418189,19113974.0,3.744,19.5824152849101,22.5936920745664
Canada,CAN,2009,1374625142157.29,40874.8831932903,-2.3249220964199,33630069.0,8.46,28.5158343165743,29.9585575059154
Central African Republic,CAF,2009,2067381665.25454,456.471673898404,0.711628390754186,4529047.0,5.202,9.84164990187971,21.6525965878002
Central Europe and the Baltics,CEB,2009,1289265192615.58,12302.0930259675,2.73283928388418,104800475.0,8.51651568379027,46.6140638210103,47.434081630319
Chad,TCD,2009,12317614053.6841,1035.63719694254,-1.64981794862514,11893754.0,0.906,32.8771516408689,31.9825995508377
Chile,CHL,2009,171777900623.892,10098.8017167286,3.57779504174319,17009731.0,11.313,37.1156347956721,29.5703961674697
China,CHN,2009,5189577094997.58,3898.24459158811,-0.0819669419831399,1331260000.0,4.72,24.3307718125403,20.0889926205716
Colombia,COL,2009,232468663109.595,5250.97292433518,4.06422546745482,44271541.0,12.066,16.4244956875755,18.731632819883
Comoros,COM,2009,905341172.70583,1410.30516959473,-2.0924558248616,641947.0,4.348,9.31193867197775,28.5849836533764
"Congo, Dem. Rep.",COD,2009,18648372553.0921,280.798051526498,32.6579291552673,66412044.0,3.88,26.8137878104525,36.1330915522039
"Congo, Rep.",COG,2009,9723299915.25312,2271.15219175966,-21.1652331128962,4281219.0,19.833,64.479912106445,71.0724535755305
Costa Rica,CRI,2009,30745714312.6417,6832.69829924138,9.70133091776152,4499791.0,7.824,34.6323050259288,35.1270126992247
Cote d'Ivoire,CIV,2009,33886813250.2036,1540.45393569596,1.20777929723688,21997940.0,6.571,35.4127413048103,31.2601624421082
Croatia,HRV,2009,62321642125.1721,14475.9632928725,2.98499874568037,4305181.0,9.202,32.0980940206514,37.5971499037889
Cuba,CUB,2009,57481481481.4815,5089.23519757167,0.634175020657153,11294719.0,1.67,17.4597293814433,15.4542525773196
Cyprus,CYP,2009,26048179949.1741,32236.44921875,0.26289894875174,1109371.0,5.594,48.7222504024133,54.0688414967863
Czechia,CZE,2009,206971882704.716,19817.4215836554,2.64518582869199,10443936.0,6.662,58.4757844686548,54.5734703162206
Denmark,DNK,2009,322619152194.594,58412.7472358513,0.571749174652652,5523095.0,6.409,46.9989097546293,42.3959469016436
Dominican Republic,DOM,2009,48223781476.8909,4973.95186999952,3.42647998492123,9695265.0,5.467,21.0931826103163,29.5577550688862
Early-demographic dividend,EAR,2009,7174570406361.96,2455.72962995221,4.87312691925838,2921563644.0,6.92207663381963,25.9675421021271,26.9490417111551
East Asia & Pacific,EAS,2009,14722165533582.7,6694.4838761923,1.83439038870848,2199148703.0,4.46622743993614,29.1115309169281,25.9886309051313
East Asia & Pacific (IDA & IBRD countries),TEA,2009,6573332906059.41,3398.53280348353,1.82670368400657,1934167856.0,4.43930711068683,28.9587557205714,24.5872358466589
East Asia & Pacific (excluding high income),EAP,2009,6581358530402.03,3359.5200934674,1.76512587619911,1959017463.0,4.41621948931768,28.9601776309348,24.6020047274925
Ecuador,ECU,2009,60094978000.0,4053.36331139298,-2.76912594900325,14825954.0,4.608,29.3096288345425,28.0377172282183
"Egypt, Arab Rep.",EGY,2009,189147005444.646,2161.63964573927,11.1855422672375,87501636.0,9.087,24.9568221070812,31.596622529265
El Salvador,SLV,2009,17601620000.0,2910.18651752011,-0.0338953396293391,6048279.0,7.33,23.9512044914048,42.1199866830439
Equatorial Guinea,GNQ,2009,15027795173.2187,13232.5019378102,-20.8302309584088,1135673.0,7.939,74.342209937853,47.8698671729483
Eritrea,ERI,2009,1856695551.21951,642.92572288007,29.5045071421789,2887885.0,5.583,4.52862385911089,23.443517755704
