Country Name,Country Code,Year,GDP_USD,GDP_PER_CAP_USD,INFLATION,POPULATION,UNEMPLOYMENT_RATE,EXPORTS,IMPORTS
Afghanistan,AFG,2021,14259995441.0759,356.496214115892,2.83899625081041,40000412.0,11.994,14.342152797537,37.06956357719
Africa Eastern and Southern,AFE,2021,1085604883589.65,1522.3933455926,6.08815281176316,713090928.0,8.57738499231761,25.8854635242059,26.3447850546884
Albania,ALB,2021,18032009220.4405,6413.28280828537,3.44439110040804,2811666.0,11.474,31.1330223351483,44.4572993931639
Algeria,DZA,2021,186231205262.082,4160.55926736925,15.9325995902386,44761099.0,13.63,23.4443672905951,23.3926919693657
Angola,AGO,2021,66505129987.7235,1925.87466082167,38.8237218374918,34532429.0,15.799,47.7452759675607,26.7192226195468
Arab World,ARB,2021,3077906530882.01,6681.70895180141,12.992410308458,460646603.0,10.8896587837575,41.6001568905923,35.7415419966259
Argentina,ARG,2021,486564085480.036,10738.0179223384,53.8020877665554,45312281.0,8.736,18.0667091690365,15.0119803984295
Armenia,ARM,2021,13878908628.9378,4685.17997128509,6.90051365787157,2962300.0,15.469,35.9064399901267,43.7634488327132
Australia,AUS,2021,1556735770437.26,60607.7788605166,3.0799498600023,25685412.0,5.116,22.0566759771447,18.2458042920249
Austria,AUT,2021,480467037338.783,53648.7190742245,1.9261293509801,8955797.0,6.459,55.9533597032853,55.0789090346153
Azerbaijan,AZE,2021,54825411764.7059,5408.04535175023,21.5888365820726,10137750.0,6.04,46.4887471674792,29.7981185195358
"Bahamas, The",BHS,2021,12037000000.0,30367.8605757708,-1.22081251287933,396373.0,11.032,27.9712552961701,37.9612860347263
Bahrain,BHR,2021,40840212765.9574,27147.8083882286,9.20840263580602,1504365.0,1.541,86.2742186726683,67.5250978124398
Bangladesh,BGD,2021,416271647911.014,2482.84917843357,4.1211747067957,167658854.0,5.327,10.6627789004134,17.0612258032497
Belarus,BLR,2021,69673747131.87,7489.71894713888,15.3265736950523,9302585.0,3.9,70.8317550415821,65.1824128358935
Belgium,BEL,2021,598522422241.851,51658.238294958,2.74262712757394,11586195.0,6.248,89.6253551052155,87.7565373348573
Belize,BLZ,2021,2420550000.0,6122.61158580079,0.630768469073601,395346.0,10.322,47.7370845469005,51.5791865485117
Benin,BEN,2021,17687623534.6665,1318.65158107487,1.61872506665755,13413417.0,1.779,20.9188061754733,27.1360546569676
