Country Name,Country Code,Year,GDP_USD,GDP_PER_CAP_USD,INFLATION,POPULATION,UNEMPLOYMENT_RATE,EXPORTS,IMPORTS
Africa Eastern and Southern,AFE,2015,898308853395.359,1479.61525980543,5.36669399398079,607123269.0,7.03635682492423,24.0726319366809,30.9129064941736
Albania,ALB,2015,11470171826.9575,3981.72662261867,0.771576290611591,2880703.0,17.193,27.0693224620319,44.2101251985694
Algeria,DZA,2015,187493855609.345,4685.05902729002,-4.98674479608955,40019529.0,11.206,20.5281416810455,32.676480909369
Angola,AGO,2015,90496420506.5957,3213.90261080059,-3.51838534598478,28157798.0,16.49,29.7545979506807,33.1339181383385
Arab World,ARB,2015,2568631130655.53,6262.04168490023,-2.52687740338985,410190679.0,11.1489135724281,40.498863190072,40.623281152909
Argentina,ARG,2015,594749285413.212,13679.6264980954,26.5799916024707,43477012.0,7.579,10.7056520504538,11.7805740385254
Armenia,ARM,2015,10553337518.414,3512.39350276709,1.21390990471085,3004600.0,18.261,29.7253912120334,41.9566831307241
Australia,AUS,2015,1351296372254.31,56739.0265346593,-0.623858470510584,23815995.0,6.055,20.0661262864303,21.5978056416682
Austria,AUT,2015,379546097300.633,43915.228020857,2.29263470154871,8642699.0,5.802,53.3960122723239,49.7215694739361
Azerbaijan,AZE,2015,53076235354.746,5500.50364628486,-8.80961552629613,9649341.0,4.96,37.7947774917249,34.806730415594
"Bahamas, The",BHS,2015,11837600000.0,30719.405417469,5.22190586164648,385346.0,12.0,35.8315874839494,33.846387781307
Bahrain,BHR,2015,32523297872.3404,23734.0551143019,-8.75667340246945,1370322.0,1.16,79.3441035722346,68.5719566006692
Bangladesh,BGD,2015,195146608978.131,1224.38647668165,5.87277704102323,159383179.0,4.396,17.3366737865485,24.7493225204896
Belarus,BLR,2015,56454769844.7632,5967.05595058777,16.0224937778594,9461076.0,5.881,58.0107665670743,57.9040596348719
Belgium,BEL,2015,461044767544.531,40893.804537772,1.12183851916816,11274196.0,8.482,77.8777392199991,77.1909428259269
Belize,BLZ,2015,2193050000.0,6154.49593498217,-0.304580065916582,356333.0,7.578,51.5720115820433,52.50678279109
Benin,BEN,2015,11388160996.7738,1002.41886879614,0.85150426118021,11360681.0,1.82,24.7204512110389,32.0358619739087
Bhutan,BTN,2015,2187815803.36833,2954.04081911097,3.20977727445317,740618.0,2.45,31.5360910045004,58.1030694550492
Bolivia,BOL,2015,33000198248.9146,2996.01289811344,-4.62060225845632,11014705.0,3.111,30.8682960291245,37.0645491614003
Bosnia and Herzegovina,BIH,2015,16404348871.4437,4662.25883724069,1.36573070914964,3518541.0,27.695,35.1148756307611,53.1771142099997
Botswana,BWA,2015,13530748844.505,6141.20394726616,3.73030582585568,2203273.0,18.93,53.0908973428197,59.809993673185
Brazil,BRA,2015,1802212206814.5,8936.19661712113,7.56617500668908,201675532.0,8.538,12.900191418386,14.0534345189741
Brunei Darussalam,BRN,2015,12930296852.4882,30625.128732694,-17.6127432412634,422212.0,7.726,52.2130112999105,37.6831770760633
Bulgaria,BGR,2015,50765918159.1476,7268.65445473873,2.94774648723617,6984225.0,9.143,63.7864172382015,62.9502249747481
Burkina Faso,BFA,2015,11832159315.6298,630.124750752312,-2.22395417919314,18777487.0,4.461,26.1076455357024,32.9815357744638
Burundi,BDI,2015,3104003546.26497,280.966831311923,21.3187470230149,11047580.0,1.442,6.41727356534236,16.4210098504297
Cabo Verde,CPV,2015,1749857620.35329,3415.06266730931,1.62040755881043,512394.0,11.907,41.1352016327173,52.873285384082
Cambodia,KHM,2015,24174170369.0738,1547.32010444393,3.06935934141643,15623251.0,0.393,55.9812203124044,66.1283765029746
Cameroon,CMR,2015,32210233020.4569,1415.00009710569,0.309791677780538,22763414.0,3.518,20.9891496295315,24.5509971984078
Canada,CAN,2015,1556508816217.14,43594.1941045394,-0.86765132022812,35704498.0,6.945,31.8499609634443,34.3149411035338
Central African Republic,CAF,2015,1695825714.19282,366.322853938121,2.70826310785282,4629320.0,5.477,17.0676606236635,36.0774871532986
Central Europe and the Baltics,CEB,2015,1297147579274.91,12596.9475064792,1.23453645859612,102973167.0,7.8140295868824,61.1408800859043,58.429728338977
Chad,TCD,2015,14559599499.5011,993.990730610869,-6.99812478043094,14647621.0,0.974,27.9084800637597,20.6030181442288
Chile,CHL,2015,242450355830.884,13433.9202987032,4.95436553002575,18047625.0,6.313,29.1910794903324,30.1580309871985
China,CHN,2015,11280814787468.9,8175.33285077393,0.137261200602396,1379860000.0,4.65,20.939064223381,17.7581206128424
Colombia,COL,2015,293492370193.166,6248.51490534512,2.44932842052003,46969940.0,8.572,15.6502115094968,22.7105526089485
Comoros,COM,2015,966029599.801228,1329.3704808998,-1.34674179006024,726682.0,4.121,10.1361983069761,27.6687537644801
"Congo, Dem. Rep.",COD,2015,37917706497.1793,467.9145805459,-1.15587859287012,81035531.0,4.439,27.7255678009169,31.6068631635076
"Congo, Rep.",COG,2015,12434793867.3568,2439.35189403696,-17.2539875449458,5097581.0,19.978,40.8570487934502,76.4636727651309
Costa Rica,CRI,2015,56441920820.5538,11714.7105980803,3.95521539715962,4818038.0,8.415,29.9956578647466,30.757904074829
Cote d'Ivoire,CIV,2015,45815005169.2651,1814.71855088017,4.77568237270827,25246342.0,2.579,27.3532437923476,25.3596209487969
Croatia,HRV,2015,51005200669.6941,12285.3032582105,0.12437215819854,4151725.0,16.175,45.4254911892461,45.2154499097051
Cuba,CUB,2015,87132800000.0,7727.91997207998,3.43904876302352,11275065.0,2.4,17.1473888133975,14.4664236659444
Cyprus,CYP,2015,19909278416.8575,23487.228515625,-0.754231430452322,1219502.0,15.026,70.0173031293258,67.2591233478671
Czechia,CZE,2015,189107698561.919,17931.5987670768,1.23453645859612,10546059.0,5.048,80.0125671431762,74.0058338544563
Denmark,DNK,2015,301758922337.637,53094.0133607574,0.409102918740629,5683483.0,6.278,55.8143215733858,49.3160408805133
Djibouti,DJI,2015,2424391785.43897,2376.12554719873,1.73934880196404,1020313.0,26.07,145.421307480105,122.942148774525
Dominican Republic,DOM,2015,70966782572.4386,6800.95309395474,2.38116064893268,10434829.0,7.605,24.0368347236543,28.3102891430464
Early-demographic dividend,EAR,2015,10271831724034.8,3219.68827173818,3.13925995519007,3190318707.0,6.8212583318297,23.4266366989297,26.557656567553
East Asia & Pacific,EAS,2015,22220470013499.6,9657.52889618953,2.5266831059666,2300844269.0,4.08251292816983,29.9187899333021,27.0525238277764
East Asia & Pacific (IDA & IBRD countries),TEA,2015,13532269646653.5,6664.48716537469,2.53089804690228,2030504270.0,4.13498800489396,24.6201870394124,21.6232251294595
East Asia & Pacific (excluding high income),EAP,2015,13548910408226.5,6589.77384002779,2.53089804690228,2056050896.0,4.11636992397966,24.6213592603478,21.6361069181757
Ecuador,ECU,2015,97209558000.0,5976.1596805651,-5.47563265671535,16266225.0,3.616,22.754485726599,25.0735539811836
"Egypt, Arab Rep.",EGY,2015,329366576819.407,3306.98159414141,9.93088973035982,99597342.0,13.052,13.1838454928598,21.6620974671631
El Salvador,SLV,2015,23438240000.0,3790.34089108162,1.307617777231,6183676.0,3.998,29.4861730232304,47.0740977138215
Equatorial Guinea,GNQ,2015,13185496881.0174,9068.91003238645,-20.1927503678985,1453923.0,7.95,56.6584738218082,42.2195853462674
Estonia,EST,2015,23311847750.9394,17722.1557669523,1.30643907694559,1315407.0,6.412,76.0344602333505,72.4726968902071
