Country Name,Country Code,Year,GDP_USD,GDP_PER_CAP_USD,INFLATION,POPULATION,UNEMPLOYMENT_RATE,EXPORTS,IMPORTS
Africa Eastern and Southern,AFE,2016,828961170566.435,1329.80728479234,6.40090045368644,623369401.0,7.19466599460041,23.2541511848562,28.434077121597
Albania,ALB,2016,11988668784.6628,4168.37544462548,-0.864265221201691,2876101.0,15.418,28.6697931741608,45.3446572805207
Algeria,DZA,2016,180763839522.151,4424.98529027556,0.856688224051865,40850721.0,10.202,18.4866879717888,31.2742448207328
Angola,AGO,2016,52761617225.9253,1807.95294072643,21.7742355863884,29183070.0,16.575,28.1244854472006,25.2456726203982
Arab World,ARB,2016,2524102874214.64,6012.51244365971,0.920589535113145,419808341.0,10.8562902038262,37.7825416131334,38.255989890627
Argentina,ARG,2016,557532320662.955,12699.9623137756,41.1193799882279,43900313.0,8.085,12.5270951690009,13.5667926798789
Armenia,ARM,2016,10546136235.5219,3524.42476874707,0.268575076501392,2992300.0,17.617,33.7442798606396,42.3336875987152
Australia,AUS,2016,1206836962281.84,49888.0410842736,-0.663157619625991,24190907.0,5.711,19.2787442533207,21.6953352224542
Austria,AUT,2016,393687359770.273,45061.4993920192,1.81475082333313,8736668.0,6.064,52.6634020833052,48.910092513867
Azerbaijan,AZE,2016,37866996882.9157,3880.6852276838,14.6283390014427,9757812.0,5.0,46.4276493913136,43.6496693432541
"Bahamas, The",BHS,2016,11880900000.0,30616.5363157284,1.53985548370244,388055.0,12.7,32.8518883249585,34.3610332550564
Bahrain,BHR,2016,33884680851.0638,23800.001440631,0.35724777804711,1423726.0,1.192,70.5882906981125,62.2347072046616
Bangladesh,BGD,2016,265224515675.034,1649.28380858601,27.8507377248339,160811932.0,4.35,13.9212044814459,17.4129456531683
Belarus,BLR,2016,47723545321.259,5039.77560949445,8.34191705022155,9469379.0,5.844,62.5093471231924,62.6999757764695
Belgium,BEL,2016,474271566739.729,41854.5498296444,1.89528913569444,11331422.0,7.83,79.6181317071952,79.43956490475
Belize,BLZ,2016,2240200000.0,6142.49873185177,2.09427966302344,364705.0,7.0,47.2948843853227,49.1697169895545
Benin,BEN,2016,11821065853.3838,1010.5338961993,0.683591111274652,11697842.0,1.784,27.6067880711982,31.3801402666294
Bhutan,BTN,2016,2357504760.78592,3152.30905106786,4.04891299347933,747866.0,2.705,27.1228339132394,49.2619189365981
Bolivia,BOL,2016,33941126193.9219,3035.87347732132,-1.35487058059017,11180020.0,3.498,24.4880055394464,31.9130289632108
Bosnia and Herzegovina,BIH,2016,17116926327.6247,4928.5665251728,1.33330596746471,3473003.0,25.408,35.9087093866022,52.3353257819525
Botswana,BWA,2016,15082637184.0496,6749.05994339013,11.9049111318198,2234776.0,19.329,54.6113547604529,45.8533350055731
Brazil,BRA,2016,1795693482853.01,8836.28652735657,8.10360437618169,203218114.0,11.58,12.4666790429968,12.0670030347037
Brunei Darussalam,BRN,2016,11400266055.3232,26663.2973199878,-9.16949513646259,427564.0,8.574,49.5777773330629,37.7420239181075
Bulgaria,BGR,2016,53929397039.2106,7822.49923292968,3.32355920411145,6894139.0,7.575,63.8609305294392,58.9445838270742
Burkina Faso,BFA,2016,12833363045.3367,663.742364842886,2.60429919226561,19334856.0,4.587,25.915964804251,31.9772079951896
Burundi,BDI,2016,2644487776.50077,235.286205393908,0.97317644189674,11239451.0,1.347,6.38452218976084,16.6592030672841
Cabo Verde,CPV,2016,1849789985.99572,3608.96605234906,1.67992479299215,512554.0,12.077,41.4729487181747,53.9051911427786
Cambodia,KHM,2016,26556545153.3573,1675.19555711109,1.58007480575829,15852803.0,0.716,56.4318377218234,66.2727178808437
Cameroon,CMR,2016,33814337044.3765,1441.7201725688,0.661808977155886,23454161.0,3.528,18.9499787559649,21.6886527708619
Canada,CAN,2016,1527994741907.43,42314.0615817218,0.716978150638226,36110803.0,7.038,31.5025724093362,33.8611121122194
Central African Republic,CAF,2016,1825018144.65595,387.176203444318,2.98011408445534,4713663.0,5.491,14.8218796578137,35.7087643640963
Central Europe and the Baltics,CEB,2016,1321565597216.69,12874.7406922285,0.987472424308564,102647939.0,6.48009996873257,62.2128236535709,58.5952103300975
Chad,TCD,2016,13026289835.7789,861.831767630746,-6.45706332382467,15114655.0,1.047,22.6079863534137,21.35002857974
Chile,CHL,2016,249344863928.438,13649.8520452803,4.56065603684756,18267221.0,6.673,27.9231581098221,28.1347029779502
China,CHN,2016,11456024084962.0,8254.86859320357,1.47744121334065,1387790000.0,4.56,19.2036507364961,16.9735199564108
Colombia,COL,2016,282720100286.228,5959.84250367574,5.14833430514589,47437512.0,8.922,14.7171392781975,21.4855137060045
Comoros,COM,2016,1012835492.51575,1365.48403353158,2.24960586468144,741741.0,4.104,10.6728955768962,26.4599841389376
"Congo, Dem. Rep.",COD,2016,37134801555.3322,442.310472110228,4.34922894475879,83956415.0,4.521,23.9564422023011,31.9687680601104
"Congo, Rep.",COG,2016,10931328150.8478,2093.10728558843,-3.50248728902629,5222536.0,20.223,42.068526050081,80.1912922339397
Costa Rica,CRI,2016,58847019609.743,12091.0301606335,1.9587648021262,4866998.0,8.085,31.2600963003508,30.9183818762552
Cote d'Ivoire,CIV,2016,48407761036.8238,1862.59597081287,-1.17983243565696,25989405.0,1.896,24.9418624533151,22.6237159080384
Croatia,HRV,2016,52654855638.1057,12821.1738140304,0.0151130697192627,4106867.0,13.103,46.6165483632852,45.5142407228836
Cuba,CUB,2016,91370407863.7,8110.55873961397,4.32834924313742,11265612.0,2.0,14.9825313469337,12.2865819059784
Cyprus,CYP,2016,21046462280.5979,24715.154296875,-0.574742494242457,1237112.0,13.006,70.4840522281272,68.538046229121
Czechia,CZE,2016,198160659303.939,18753.9686718096,1.49123391004676,10566332.0,3.952,78.108333006403,70.4386716580323
Denmark,DNK,2016,312181849372.233,54500.9260410217,0.42651293565801,5728010.0,5.989,53.7439528985173,47.7088309101261
Djibouti,DJI,2016,2604955228.70117,2510.4300076241,0.302782333572253,1037653.0,25.992,103.764025112093,109.307973495828
Dominican Republic,DOM,2016,75552902635.7075,7160.44200982307,2.0153931389807,10551430.0,7.284,24.1938670386292,27.5367900859185
Early-demographic dividend,EAR,2016,10571969587055.3,3269.98432817621,2.51784593601241,3233033717.0,6.75915198816922,22.6093752519849,25.0546407270387
East Asia & Pacific,EAS,2016,23005487018716.5,9928.67149927477,1.82991900792052,2317076058.0,3.99580515839642,27.8810336727546,25.2790356440548
East Asia & Pacific (IDA & IBRD countries),TEA,2016,13827143891946.3,6758.74015480622,2.43892408688207,2045816761.0,4.05094529389803,23.0142065656778,20.7653174387696
East Asia & Pacific (excluding high income),EAP,2016,13844122755580.7,6683.18386893998,2.24475651909437,2071486140.0,4.03404292652506,23.0152133748741,20.7776658134944
Ecuador,ECU,2016,97671433000.0,5917.63771271481,1.17114450392724,16505139.0,4.597,20.53929115589,19.9952006437747
"Egypt, Arab Rep.",EGY,2016,332441717791.411,3270.6287768197,6.24566313377426,101644589.0,12.45,10.3454639403558,19.9010851110947
El Salvador,SLV,2016,24191430000.0,3901.34014965811,0.657746207396585,6200800.0,4.418,28.4585905008509,44.3605028722982
Equatorial Guinea,GNQ,2016,11240808847.8878,7453.19797948517,-6.2854221112699,1508186.0,7.962,51.4128299447575,41.1879007790367
Estonia,EST,2016,24561027787.7896,18666.3736521706,2.43852660721117,1315790.0,6.882,75.4768621637455,72.2693705459549
Eswatini,SWZ,2016,3724180911.37828,3239.80707501414,5.02782739577417,1149507.0,22.718,45.2641326519506,44.0493707222193
Ethiopia,ETH,2016,74296766562.127,696.196084806324,10.3979572710465,106718162.0,2.554,7.8120625822914,27.0869584993198
Euro area,EMU,2016,12124585812257.6,35232.2695661265,0.586737171692668,344132977.0,10.033463178174,44.5659572369385,40.0771404480562
Europe & Central Asia,ECS,2016,20511787410869.2,22496.7758500912,1.32792802237991,911765648.0,8.09153564743006,41.5651887008044,38.3412143458787
Europe & Central Asia (IDA & IBRD countries),TEC,2016,3490976596937.19,7653.97807124132,2.84422269802643,456099634.0,7.47528124356917,31.9139997330916,31.0307423944846
Europe & Central Asia (excluding high income),ECA,2016,1449055610153.63,5977.68550933388,3.50806334370899,242410814.0,9.09240567215625,28.3106825664729,31.8065050120744
European Union,EUU,2016,13990609868691.7,31462.4341209885,0.885482436856336,444676652.0,9.10766131721785,45.7945718523807,41.3865081893806
Fiji,FJI,2016,4930213644.36653,5363.79026679243,2.63332664334581,919166.0,4.319,46.6472413870702,50.5272491970504
Finland,FIN,2016,238777818792.608,43451.2562442158,0.05519539775689,5495303.0,8.818,35.3333302428645,36.3888798750214
France,FRA,2016,2470407619777.13,37024.2157133669,0.517258232209031,66724104.0,10.057,31.498210070063,31.8445463682721
French Polynesia,PYF,2016,5497036476.8031,19690.0775734589,1.12947790218716,279178.0,11.715,19.6126341083126,34.0038608344667
Gabon,GAB,2016,14023890265.3665,6677.07003901644,-4.26975397974572,2100306.0,20.134,44.0353472921111,26.0980337724197
"Gambia, The",GMB,2016,1484578885.97132,650.056501323611,7.82062274860979,2283769.0,6.285,12.7556347921577,25.3584531644371
Georgia,GEO,2016,15444548901.9637,4143.40125686315,2.27481842989697,3727505.0,16.604,39.9992925341285,54.9269603042158
Germany,DEU,2016,3537784107980.55,42961.0356905775,1.25625863629057,82348669.0,4.104,41.6238177033957,34.3607698108013
Ghana,GHA,2016,56144179397.8516,1912.47991339951,15.7486203078991,29356742.0,5.232,31.193239148362,36.6837602962245
Greece,GRC,2016,193097239005.87,17919.2426377048,-0.489961144384012,10775971.0,23.514,31.1793860165412,32.4782765724963
Guam,GUM,2016,5901000000.0,35930.6594898711,1.57407577083902,164233.0,5.4,18.9628876461617,51.4489069649212
Guatemala,GTM,2016,66053403363.7384,4060.13754974186,2.70719089086103,16268760.0,2.583,18.7530893645122,27.6196485470019
Guinea,GIN,2016,8595955222.49719,711.996509782316,5.66895163278967,12073030.0,5.013,29.3715126043271,82.4679548110406
Guinea-Bissau,GNB,2016,1245074264.10396,679.665386626818,2.71774539339231,1831893.0,3.123,23.7747310385206,30.5259420089505
Haiti,HTI,2016,14069277526.2278,1318.40268167953,15.7032145295515,10671457.0,13.852,11.6019709432331,29.8089312729643
Heavily indebted poor countries (HIPC),HPC,2016,681582492494.931,900.498036025473,4.08088525388276,756895035.0,4.37144771498706,20.8438062973043,32.1220466820871
High income,HIC,2016,50925145050903.7,37055.7538854894,0.968897451035623,1374284415.0,6.10566563882337,29.7306535074982,28.5573896918098
Honduras,HND,2016,21717604952.1835,2307.34468351082,3.67806814426042,9412380.0,6.727,42.7141047814182,57.1016121691742
"Hong Kong SAR, China",HKG,2016,320860317562.562,43734.1980702999,1.63826566455523,7336600.0,3.392,187.005128888725,184.722102884528
Hungary,HUN,2016,128983560865.293,13215.8605277789,1.32255007729512,9759755.0,5.115,86.1114634598119,77.8604810403383
IBRD only,IBD,2016,26257498466233.4,5560.96329446574,2.62804309696658,4721753602.0,6.42558212774185,23.473411631067,22.7523397820206
IDA & IBRD total,IBT,2016,28416081615148.4,4467.69831583104,2.71246814212667,6360340293.0,5.96562037853441,22.9897877962942,22.8584080882097
IDA only,IDX,2016,1121857668354.92,1058.23347491943,3.67806814426042,1060123021.0,4.68946609332404,20.06681316608,30.5240580331343
IDA total,IDA,2016,2157610760378.18,1316.75105884171,2.97683356878408,1638586691.0,4.34425658266458,17.9369261252929,24.1939619475751
